949	66370
757	48288
565	30411
373	12388
181	4013
937	63249
745	46764
553	29296
361	12710
169	3964
925	60063
733	43655
541	27838
349	12124
157	3553
913	61931
721	43478
529	27481
337	11246
145	3038
901	60551
709	42513
517	26910
325	9543
133	2705
889	58696
697	41677
505	25757
313	9462
121	2771
877	56933
685	40632
493	23698
301	8038
109	2295
865	55978
673	38765
481	22384
289	7299
97	1882
853	55865
661	39374
469	21012
277	7723
85	1458
841	53515
649	37173
457	21406
265	7861
73	1226
829	50904
637	34637
445	20296
253	6478
61	1223
817	52211
625	34461
433	17303
241	5906
49	1006
997	69411
805	51963
613	35777
421	18767
229	5441
37	802
985	68510
793	50093
601	33152
409	18360
217	5706
25	594
973	66728
781	49174
589	31482
397	14955
205	4977
13	294
961	66553
769	47129
577	29697
385	14331
193	4451
1	131
