9214	98619616
1993	4557455
3985	18127477
5977	41367656
7969	73975462
748	628857
9961	115305380
2740	8676191
4732	26028979
6724	52568142
8716	88384159
1495	2556541
3487	14040956
5479	34730301
7471	65463509
250	72970
9463	103601066
2242	5772602
4234	20629234
6226	45516726
8218	78371866
997	1136036
2989	10250550
4981	28828028
6973	56735463
8965	92955633
1744	3489326
3736	16076819
5728	37997057
7720	69646086
499	284989
9712	106876465
2491	7192553
4483	23370724
6475	48725092
8467	82791954
1246	1788074
3238	12113877
5230	31693988
7222	60723880
1	45
