949	1032275
757	647502
565	365045
373	158386
181	38212
937	1002402
745	629045
553	366341
361	148340
169	34172
925	985550
733	606673
541	329565
349	139592
157	29116
913	949486
721	598985
529	316114
337	129327
145	24991
901	945296
709	572766
517	316586
325	120822
133	21046
889	899828
697	550042
505	291394
313	111259
121	18083
877	880209
685	531491
493	276840
301	103873
109	14339
865	855546
673	516291
481	262916
289	96173
97	11509
853	834680
661	496262
469	250694
277	88905
85	8960
841	811866
649	484355
457	236579
265	80674
73	6712
829	789620
637	461093
445	225097
253	73704
61	4736
817	768577
625	445240
433	216485
241	66932
49	3236
997	1144829
805	771035
613	425473
421	200784
229	61193
37	2480
985	1105589
793	713345
601	407687
409	190468
217	54700
25	910
973	1074093
781	690692
589	391754
397	178925
205	48756
13	247
961	1049917
769	684241
577	375792
385	169100
193	43276
1	10
